Data,Ato,Cargo,Quantidade,Símbolo,Origem,Destino,Nova Denominação
2026-05-16,Redenominação,Assessor de Assistência Social em Defesa Civil,1 (um),CAA-2,-,-,Coordenador de Ajuda Humanitária
2026-05-20,Transferência,Auxiliar Técnico,9 (nove),CAA-4,Secretaria de Educação,Secretaria da Casa Civil,-
2026-05-20,Transferência,Auxiliar Administrativo,3 (três),CAA-5,Secretaria de Educação,Secretaria da Casa Civil,-
2026-05-23,Transferência,Coordenador de Apoio Administrativo,1 (um),CAA-2,Gabinete da Governadora,Secretaria da Casa Civil,Assessor
2026-05-23,Alocação,Assessor Técnico,1 (um),CAA-1,-,Secretaria da Casa Civil,-
2026-05-23,Transferência,Coordenador de Apoio Adminis-trativo,1 (um),CAA-2,Gabinete da Governadora,Secretaria de Saúde,Assessor
2026-05-23,Transferência,Auxiliar Técnico,1 (um),CAA-4,Secretaria de Educação,Conselho Estadual dos Direitos da Criança e do Adolescente - CEDCA,-
2026-05-23,Transferência,Auxiliar Técnico,1 (um),CAA-4,Secretaria de Educação,Secretaria da Mulher,-
2026-05-23,Transferência,Gestor de Articulação Governamental,1 (um),DAS-5,Secretaria da Casa Civil,Secretaria de Justiça,Gestor da Política LGBTQIA+
2026-05-23,Transferência,Coordenador de Apoio Executivo,1 (um),DAS-4,Gabinete da Governadora,Secretaria de Assistência Social,Gerente de Controle Interno
2026-05-23,Transferência,Gestor Técnico de Controle Interno,1 (um),DAS-5,"Secretaria de Assistência Social, Combate à Fome e Políticas sobre Drogas",Secretaria da Casa Civil,Gestor de Articulação Governamental
2026-05-23,Alocação,Assessor Especial de Relações Institucionais,1 (um),DAS-2,-,Secretaria da Casa Civil,-
2026-05-23,Transferência,Auxiliar Técnico,1 (um),CAA-4,Secretaria de Educação,Secretaria da Casa Civil,-
2026-05-23,Transferência,Gerente de Processos Seletivos e Desempenho de Lideranças,1 (um),DAS-4,Secretaria de Administração,Secretaria de Comunicação,Gerente Administrativo e Financeiro
2026-05-23,Redenominação,Auxiliar Administrativo,1 (um),CAA-5,-,-,Auxiliar de Conferência de Preços
2026-05-23,Redenominação,Consultor Técnico,1 (um),DAS-2,-,-,Gerente Geral de Convênios
